resume,jd_file,similarity_score
resume_data_science_1.pdf,jd_data_science_1.txt,0.003
resume_data_science_1.pdf,jd_data_science_2.txt,0.005
resume_data_science_1.pdf,jd_data_science_3.txt,0.006
resume_data_science_1.pdf,jd_data_science_4.txt,0.002
resume_data_science_1.pdf,jd_data_science_5.txt,0.009
resume_data_science_1.pdf,jd_finance_1.txt,0.005
resume_data_science_1.pdf,jd_finance_2.txt,0.001
resume_data_science_1.pdf,jd_finance_3.txt,0.002
resume_data_science_1.pdf,jd_finance_4.txt,0.0
resume_data_science_1.pdf,jd_project_management_1.txt,0.0
resume_data_science_1.pdf,jd_project_management_2.txt,0.0
resume_data_science_1.pdf,jd_project_management_3.txt,0.001
resume_data_science_1.pdf,jd_project_management_4.txt,0.001
resume_data_science_1.pdf,jd_project_management_5.txt,0.0
resume_data_science_1.pdf,jd_sales_1.txt,0.0
resume_data_science_1.pdf,jd_sales_2.txt,0.007
resume_data_science_1.pdf,jd_sales_3.txt,0.0
resume_data_science_1.pdf,jd_sales_4.txt,0.001
resume_data_science_1.pdf,jd_sales_5.txt,0.001
resume_data_science_1.pdf,jd_sales_6.txt,0.002
resume_data_science_1.pdf,jd_software_engineer_1.txt,0.001
resume_data_science_1.pdf,jd_software_engineer_2.txt,0.009
resume_data_science_1.pdf,jd_software_engineer_3.txt,0.004
resume_data_science_1.pdf,jd_software_engineer_4.txt,0.002
resume_data_science_1.pdf,jd_software_engineer_5.txt,0.004
resume_data_science_1.pdf,jd_software_engineer_6.txt,0.002
resume_finance_1.pdf,jd_data_science_1.txt,0.002
resume_finance_1.pdf,jd_data_science_2.txt,0.007
resume_finance_1.pdf,jd_data_science_3.txt,0.002
resume_finance_1.pdf,jd_data_science_4.txt,0.002
resume_finance_1.pdf,jd_data_science_5.txt,0.001
resume_finance_1.pdf,jd_finance_1.txt,0.001
resume_finance_1.pdf,jd_finance_2.txt,0.002
resume_finance_1.pdf,jd_finance_3.txt,0.002
resume_finance_1.pdf,jd_finance_4.txt,0.003
resume_finance_1.pdf,jd_project_management_1.txt,0.0
resume_finance_1.pdf,jd_project_management_2.txt,0.001
resume_finance_1.pdf,jd_project_management_3.txt,0.0
resume_finance_1.pdf,jd_project_management_4.txt,0.001
resume_finance_1.pdf,jd_project_management_5.txt,0.0
resume_finance_1.pdf,jd_sales_1.txt,0.0
resume_finance_1.pdf,jd_sales_2.txt,0.001
resume_finance_1.pdf,jd_sales_3.txt,0.0
resume_finance_1.pdf,jd_sales_4.txt,0.0
resume_finance_1.pdf,jd_sales_5.txt,0.0
resume_finance_1.pdf,jd_sales_6.txt,0.002
resume_finance_1.pdf,jd_software_engineer_1.txt,0.001
resume_finance_1.pdf,jd_software_engineer_2.txt,0.002
resume_finance_1.pdf,jd_software_engineer_3.txt,0.001
resume_finance_1.pdf,jd_software_engineer_4.txt,0.003
resume_finance_1.pdf,jd_software_engineer_5.txt,0.001
resume_finance_1.pdf,jd_software_engineer_6.txt,0.003
resume_finance_2.pdf,jd_data_science_1.txt,0.002
resume_finance_2.pdf,jd_data_science_2.txt,0.007
resume_finance_2.pdf,jd_data_science_3.txt,0.002
resume_finance_2.pdf,jd_data_science_4.txt,0.003
resume_finance_2.pdf,jd_data_science_5.txt,0.002
resume_finance_2.pdf,jd_finance_1.txt,0.002
resume_finance_2.pdf,jd_finance_2.txt,0.003
resume_finance_2.pdf,jd_finance_3.txt,0.002
resume_finance_2.pdf,jd_finance_4.txt,0.002
resume_finance_2.pdf,jd_project_management_1.txt,0.0
resume_finance_2.pdf,jd_project_management_2.txt,0.001
resume_finance_2.pdf,jd_project_management_3.txt,0.0
resume_finance_2.pdf,jd_project_management_4.txt,0.0
resume_finance_2.pdf,jd_project_management_5.txt,0.0
resume_finance_2.pdf,jd_sales_1.txt,0.0
resume_finance_2.pdf,jd_sales_2.txt,0.001
resume_finance_2.pdf,jd_sales_3.txt,0.0
resume_finance_2.pdf,jd_sales_4.txt,0.0
resume_finance_2.pdf,jd_sales_5.txt,0.0
resume_finance_2.pdf,jd_sales_6.txt,0.002
resume_finance_2.pdf,jd_software_engineer_1.txt,0.001
resume_finance_2.pdf,jd_software_engineer_2.txt,0.001
resume_finance_2.pdf,jd_software_engineer_3.txt,0.0
resume_finance_2.pdf,jd_software_engineer_4.txt,0.002
resume_finance_2.pdf,jd_software_engineer_5.txt,0.001
resume_finance_2.pdf,jd_software_engineer_6.txt,0.002
resume_sales_1.pdf,jd_data_science_1.txt,0.001
resume_sales_1.pdf,jd_data_science_2.txt,0.001
resume_sales_1.pdf,jd_data_science_3.txt,0.001
resume_sales_1.pdf,jd_data_science_4.txt,0.001
resume_sales_1.pdf,jd_data_science_5.txt,0.0
resume_sales_1.pdf,jd_finance_1.txt,0.001
resume_sales_1.pdf,jd_finance_2.txt,0.001
resume_sales_1.pdf,jd_finance_3.txt,0.001
resume_sales_1.pdf,jd_finance_4.txt,0.001
resume_sales_1.pdf,jd_project_management_1.txt,0.0
resume_sales_1.pdf,jd_project_management_2.txt,0.0
resume_sales_1.pdf,jd_project_management_3.txt,0.0
resume_sales_1.pdf,jd_project_management_4.txt,0.0
resume_sales_1.pdf,jd_project_management_5.txt,0.0
resume_sales_1.pdf,jd_sales_1.txt,0.0
resume_sales_1.pdf,jd_sales_2.txt,0.001
resume_sales_1.pdf,jd_sales_3.txt,0.0
resume_sales_1.pdf,jd_sales_4.txt,0.0
resume_sales_1.pdf,jd_sales_5.txt,0.0
resume_sales_1.pdf,jd_sales_6.txt,0.001
resume_sales_1.pdf,jd_software_engineer_1.txt,0.0
resume_sales_1.pdf,jd_software_engineer_2.txt,0.0
resume_sales_1.pdf,jd_software_engineer_3.txt,0.0
resume_sales_1.pdf,jd_software_engineer_4.txt,0.002
resume_sales_1.pdf,jd_software_engineer_5.txt,0.0
resume_sales_1.pdf,jd_software_engineer_6.txt,0.001
resume_sales_2.pdf,jd_data_science_1.txt,0.001
resume_sales_2.pdf,jd_data_science_2.txt,0.001
resume_sales_2.pdf,jd_data_science_3.txt,0.001
resume_sales_2.pdf,jd_data_science_4.txt,0.001
resume_sales_2.pdf,jd_data_science_5.txt,0.0
resume_sales_2.pdf,jd_finance_1.txt,0.001
resume_sales_2.pdf,jd_finance_2.txt,0.001
resume_sales_2.pdf,jd_finance_3.txt,0.001
resume_sales_2.pdf,jd_finance_4.txt,0.0
resume_sales_2.pdf,jd_project_management_1.txt,0.0
resume_sales_2.pdf,jd_project_management_2.txt,0.0
resume_sales_2.pdf,jd_project_management_3.txt,0.0
resume_sales_2.pdf,jd_project_management_4.txt,0.0
resume_sales_2.pdf,jd_project_management_5.txt,0.0
resume_sales_2.pdf,jd_sales_1.txt,0.0
resume_sales_2.pdf,jd_sales_2.txt,0.001
resume_sales_2.pdf,jd_sales_3.txt,0.0
resume_sales_2.pdf,jd_sales_4.txt,0.0
resume_sales_2.pdf,jd_sales_5.txt,0.0
resume_sales_2.pdf,jd_sales_6.txt,0.001
resume_sales_2.pdf,jd_software_engineer_1.txt,0.0
resume_sales_2.pdf,jd_software_engineer_2.txt,0.001
resume_sales_2.pdf,jd_software_engineer_3.txt,0.0
resume_sales_2.pdf,jd_software_engineer_4.txt,0.001
resume_sales_2.pdf,jd_software_engineer_5.txt,0.0
resume_sales_2.pdf,jd_software_engineer_6.txt,0.0
resume_software_engineer_1.pdf,jd_data_science_1.txt,0.006
resume_software_engineer_1.pdf,jd_data_science_2.txt,0.002
resume_software_engineer_1.pdf,jd_data_science_3.txt,0.005
resume_software_engineer_1.pdf,jd_data_science_4.txt,0.009
resume_software_engineer_1.pdf,jd_data_science_5.txt,0.001
resume_software_engineer_1.pdf,jd_finance_1.txt,0.002
resume_software_engineer_1.pdf,jd_finance_2.txt,0.002
resume_software_engineer_1.pdf,jd_finance_3.txt,0.008
resume_software_engineer_1.pdf,jd_finance_4.txt,0.002
resume_software_engineer_1.pdf,jd_project_management_1.txt,0.001
resume_software_engineer_1.pdf,jd_project_management_2.txt,0.001
resume_software_engineer_1.pdf,jd_project_management_3.txt,0.0
resume_software_engineer_1.pdf,jd_project_management_4.txt,0.0
resume_software_engineer_1.pdf,jd_project_management_5.txt,0.001
resume_software_engineer_1.pdf,jd_sales_1.txt,0.001
resume_software_engineer_1.pdf,jd_sales_2.txt,0.007
resume_software_engineer_1.pdf,jd_sales_3.txt,0.0
resume_software_engineer_1.pdf,jd_sales_4.txt,0.0
resume_software_engineer_1.pdf,jd_sales_5.txt,0.0
resume_software_engineer_1.pdf,jd_sales_6.txt,0.002
resume_software_engineer_1.pdf,jd_software_engineer_1.txt,0.001
resume_software_engineer_1.pdf,jd_software_engineer_2.txt,0.002
resume_software_engineer_1.pdf,jd_software_engineer_3.txt,0.001
resume_software_engineer_1.pdf,jd_software_engineer_4.txt,0.012
resume_software_engineer_1.pdf,jd_software_engineer_5.txt,0.002
resume_software_engineer_1.pdf,jd_software_engineer_6.txt,0.004
resume_software_engineer_1.txt,jd_data_science_1.txt,0.126
resume_software_engineer_1.txt,jd_data_science_2.txt,0.089
resume_software_engineer_1.txt,jd_data_science_3.txt,0.124
resume_software_engineer_1.txt,jd_data_science_4.txt,0.096
resume_software_engineer_1.txt,jd_data_science_5.txt,0.087
resume_software_engineer_1.txt,jd_finance_1.txt,0.052
resume_software_engineer_1.txt,jd_finance_2.txt,0.052
resume_software_engineer_1.txt,jd_finance_3.txt,0.135
resume_software_engineer_1.txt,jd_finance_4.txt,0.04
resume_software_engineer_1.txt,jd_project_management_1.txt,0.078
resume_software_engineer_1.txt,jd_project_management_2.txt,0.151
resume_software_engineer_1.txt,jd_project_management_3.txt,0.088
resume_software_engineer_1.txt,jd_project_management_4.txt,0.094
resume_software_engineer_1.txt,jd_project_management_5.txt,0.107
resume_software_engineer_1.txt,jd_sales_1.txt,0.024
resume_software_engineer_1.txt,jd_sales_2.txt,0.042
resume_software_engineer_1.txt,jd_sales_3.txt,0.065
resume_software_engineer_1.txt,jd_sales_4.txt,0.056
resume_software_engineer_1.txt,jd_sales_5.txt,0.015
resume_software_engineer_1.txt,jd_sales_6.txt,0.038
resume_software_engineer_1.txt,jd_software_engineer_1.txt,0.215
resume_software_engineer_1.txt,jd_software_engineer_2.txt,0.146
resume_software_engineer_1.txt,jd_software_engineer_3.txt,0.151
resume_software_engineer_1.txt,jd_software_engineer_4.txt,0.117
resume_software_engineer_1.txt,jd_software_engineer_5.txt,0.144
resume_software_engineer_1.txt,jd_software_engineer_6.txt,0.113
resume_software_engineer_10.txt,jd_data_science_1.txt,0.117
resume_software_engineer_10.txt,jd_data_science_2.txt,0.067
resume_software_engineer_10.txt,jd_data_science_3.txt,0.167
resume_software_engineer_10.txt,jd_data_science_4.txt,0.173
resume_software_engineer_10.txt,jd_data_science_5.txt,0.075
resume_software_engineer_10.txt,jd_finance_1.txt,0.043
resume_software_engineer_10.txt,jd_finance_2.txt,0.036
resume_software_engineer_10.txt,jd_finance_3.txt,0.144
resume_software_engineer_10.txt,jd_finance_4.txt,0.039
resume_software_engineer_10.txt,jd_project_management_1.txt,0.049
resume_software_engineer_10.txt,jd_project_management_2.txt,0.125
resume_software_engineer_10.txt,jd_project_management_3.txt,0.071
resume_software_engineer_10.txt,jd_project_management_4.txt,0.074
resume_software_engineer_10.txt,jd_project_management_5.txt,0.049
resume_software_engineer_10.txt,jd_sales_1.txt,0.014
resume_software_engineer_10.txt,jd_sales_2.txt,0.084
resume_software_engineer_10.txt,jd_sales_3.txt,0.049
resume_software_engineer_10.txt,jd_sales_4.txt,0.061
resume_software_engineer_10.txt,jd_sales_5.txt,0.012
resume_software_engineer_10.txt,jd_sales_6.txt,0.036
resume_software_engineer_10.txt,jd_software_engineer_1.txt,0.084
resume_software_engineer_10.txt,jd_software_engineer_2.txt,0.066
resume_software_engineer_10.txt,jd_software_engineer_3.txt,0.184
resume_software_engineer_10.txt,jd_software_engineer_4.txt,0.279
resume_software_engineer_10.txt,jd_software_engineer_5.txt,0.087
resume_software_engineer_10.txt,jd_software_engineer_6.txt,0.044
resume_software_engineer_11.txt,jd_data_science_1.txt,0.105
resume_software_engineer_11.txt,jd_data_science_2.txt,0.065
resume_software_engineer_11.txt,jd_data_science_3.txt,0.126
resume_software_engineer_11.txt,jd_data_science_4.txt,0.146
resume_software_engineer_11.txt,jd_data_science_5.txt,0.073
resume_software_engineer_11.txt,jd_finance_1.txt,0.047
resume_software_engineer_11.txt,jd_finance_2.txt,0.039
resume_software_engineer_11.txt,jd_finance_3.txt,0.121
resume_software_engineer_11.txt,jd_finance_4.txt,0.03
resume_software_engineer_11.txt,jd_project_management_1.txt,0.043
resume_software_engineer_11.txt,jd_project_management_2.txt,0.101
resume_software_engineer_11.txt,jd_project_management_3.txt,0.072
resume_software_engineer_11.txt,jd_project_management_4.txt,0.063
resume_software_engineer_11.txt,jd_project_management_5.txt,0.036
resume_software_engineer_11.txt,jd_sales_1.txt,0.02
resume_software_engineer_11.txt,jd_sales_2.txt,0.059
resume_software_engineer_11.txt,jd_sales_3.txt,0.043
resume_software_engineer_11.txt,jd_sales_4.txt,0.061
resume_software_engineer_11.txt,jd_sales_5.txt,0.014
resume_software_engineer_11.txt,jd_sales_6.txt,0.027
resume_software_engineer_11.txt,jd_software_engineer_1.txt,0.073
resume_software_engineer_11.txt,jd_software_engineer_2.txt,0.064
resume_software_engineer_11.txt,jd_software_engineer_3.txt,0.191
resume_software_engineer_11.txt,jd_software_engineer_4.txt,0.214
resume_software_engineer_11.txt,jd_software_engineer_5.txt,0.089
resume_software_engineer_11.txt,jd_software_engineer_6.txt,0.033
resume_software_engineer_12.txt,jd_data_science_1.txt,0.081
resume_software_engineer_12.txt,jd_data_science_2.txt,0.052
resume_software_engineer_12.txt,jd_data_science_3.txt,0.091
resume_software_engineer_12.txt,jd_data_science_4.txt,0.127
resume_software_engineer_12.txt,jd_data_science_5.txt,0.047
resume_software_engineer_12.txt,jd_finance_1.txt,0.055
resume_software_engineer_12.txt,jd_finance_2.txt,0.037
resume_software_engineer_12.txt,jd_finance_3.txt,0.102
resume_software_engineer_12.txt,jd_finance_4.txt,0.037
resume_software_engineer_12.txt,jd_project_management_1.txt,0.049
resume_software_engineer_12.txt,jd_project_management_2.txt,0.079
resume_software_engineer_12.txt,jd_project_management_3.txt,0.084
resume_software_engineer_12.txt,jd_project_management_4.txt,0.103
resume_software_engineer_12.txt,jd_project_management_5.txt,0.048
resume_software_engineer_12.txt,jd_sales_1.txt,0.033
resume_software_engineer_12.txt,jd_sales_2.txt,0.088
resume_software_engineer_12.txt,jd_sales_3.txt,0.056
resume_software_engineer_12.txt,jd_sales_4.txt,0.06
resume_software_engineer_12.txt,jd_sales_5.txt,0.019
resume_software_engineer_12.txt,jd_sales_6.txt,0.024
resume_software_engineer_12.txt,jd_software_engineer_1.txt,0.044
resume_software_engineer_12.txt,jd_software_engineer_2.txt,0.057
resume_software_engineer_12.txt,jd_software_engineer_3.txt,0.091
